GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.10_1,RCOF,17.17,20.31,39.41,32.99,26.72,31.56
AGO,AGO.12_1,RCOF,126500,96950,112100,45190,12290,867.6
AGO,AGO.14_1,RCOF,114.9,134.7,267.6,237.6,212.5,276.9
AGO,AGO.16_1,RCOF,4.728,6.453,14.42,11.29,8.654,11.97
AGO,AGO.17_1,RCOF,136.7,179.7,372.5,330.6,280,340.1
AGO,AGO.18_1,RCOF,27.82,30.22,47.11,40.29,29.72,30.78
AGO,AGO.1_1,RCOF,44.02,50.99,99.15,86.35,79.46,108.8
AGO,AGO.2_1,RCOF,577.7,726.3,1446,1196,1018,1284
AGO,AGO.3_1,RCOF,204.3,256.7,550.2,491.7,437.3,575
AGO,AGO.4_1,RCOF,122.4,141.3,275.2,249.3,200.1,241.1
AGO,AGO.5_1,RCOF,417.9,593.4,1497,1354,1467,2268
AGO,AGO.6_1,RCOF,228.8,320.2,650.4,544.5,458.4,691.4
AGO,AGO.7_1,RCOF,12.67,15.15,31.86,28.35,25.34,33.38
AGO,AGO.9_1,RCOF,82.95,101.3,215.3,194.8,170.6,219.8
BDI,BDI.11_1,RCOF,1.667,1.332,1.796,2.428,2.071,2.088
BDI,BDI.13_1,RCOF,2.171,1.28,0.9168,0.515,0.1173,0
BDI,BDI.16_1,RCOF,1.14,0.8892,0.8894,1.184,0.9642,1.075
BDI,BDI.1_1,RCOF,0.08412,0.06832,0.04965,0.03501,0.02268,0.01456
BDI,BDI.5_1,RCOF,0.3404,0.2208,0.1801,0.1333,0.06194,0.03475
BDI,BDI.6_1,RCOF,0.2254,0.258,0.2524,0.2204,0.2927,0.2864
BEN,BEN.10_1,RCOF,3.903,3.527,3.276,2.943,2.634,2.373
BEN,BEN.11_1,RCOF,2.943,2.885,2.631,2.6,2.368,2.302
BEN,BEN.12_1,RCOF,2.469,3.155,5.788,6.158,6.069,7.095
BEN,BEN.1_1,RCOF,0.3106,0.3327,0.8285,1.045,0.9975,0.9282
BEN,BEN.4_1,RCOF,69.44,56.02,43.41,33.39,24.32,16.63
BEN,BEN.5_1,RCOF,9.117,9.028,9.88,12.53,12.85,13.74
